Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
example2_training_field_001;training field;Laps arount the air;;;suffocation:0.2;;;*;Ugh… La verdad no quería regresar aquí pero es mi deber, no me queda de otra, tengo que seguir a pesar del dolor;english 1
example2_training_field_002;;;;;;;;instructor;Muy bien chicos, hoy continuarán practicando el combate con espada.;english 2
example2_training_field_003;;;;;;;;;Recuerden que luego podrán aprender a utilizar el arma que ustedes quieran, sin embargo todos ustedes deben ser capaces de manejar una espada correctamente.;
example2_training_field_004;;;;;;;;;Ya lo saben, lo mismo de siempre, trabajen en sus posturas de combate y sobre todo tengan cuidado al momento de terminar los enfrentamientos.;
example2_training_field_005;;;;;;;;;En la clase anterior hubo más heridos de los que me gustaría haber reportado a mi jefe.;
example2_training_field_006;;;;;;;;*;Tengo la mala fortuna de ser uno de los que apareció en ese reporte.;
example2_training_field_007;;;;;;;;instructor;Sin más que añadir, tomen su espada y empiecen el entrenamiento uno contra uno igual que ayer.;
example2_training_field_008;;;;;;;;*;No puedo evitar frotar y estirar mi cuello varias veces en medio de su discurso, me sigue doliendo bastante.;
example2_training_field_009;;;;;;;;;Pero era de esperarse, debido a las condiciones de victoria de los enfrentamientos, es muy común que sucedan accidentes como esos.;
example2_training_field_010;;;;;;;;;Para ganar un enfrentamiento amistoso, solo basta con amenazar a tu oponente con un ataque que en condiciones normales lo mataría.;
example2_training_field_011;;;;;;;;;Pero solo eso, “Amenazar”, inevitablemente siempre van a ocurrir golpes.;
example2_training_field_012;;;;;;;;;En mi caso… a mi contrincante se le fue un poco la mano y no se detuvo a tiempo antes de que su espada chocara contra mi cuello.;
example2_training_field_013;;;;;;;;;Aunque dormí mis 8 horitas, no es suficiente para sanar el daño recibido.;
example2_training_field_014;;;;;;;;;Aceptando mi dolor me acerco al soporte para espadas y tomo la mía.;
example2_training_field_015;;;;;;;;;A ver…. ¿Contra quién me enfrento hoy?;
example2_training_field_016;;;;;;;;;Ya sé que contra Triskel no, es muy brusco y fue el autor de mi lesión, además ya he entrenado mucho con él, necesito probar con otra persona para probar otro tipo de oponente.;
example2_training_field_017;;;;;;;;;¿Qué tal Pierre? Es algo más cuidadoso con sus movimientos, alguien bastante defensivo que calcula muy bien sus ataques, podría ser una buena opción.;
example2_training_field_018;;;;;;;;;Aunque Rafarencio últimamente ha mejorado bastante, he visto que evita la mayoría de ataques y contraataca cada vez mejor, sabe caer y levantarse rápido, quizás pueda aprender de él.;
example2_training_field_019;;;;;;;;;Amy es escurridiza, no es la más fuerte pero diría que es la más flexible, aprovecha todo su cuerpo para evitar ataques imposibles y una vez le ganó a Triskel sin si quiera usar su espada.;
example2_training_field_020;;;;;;;;;¿Pierre, Rafarencio o Amy? Mmmmm…;
example2_training_field_021;;;;;;;;;La mayoría de veces he combatido contra oponentes robustos con una gran fuerza, me atrevería a decir que ya más o menos sé como manejarlos.;
example2_training_field_022;;;;;;;;;Me gustaría algo más… dinámico, en ese caso creo que la mejor opción será Amy, me gustaría aprender algunas cosas de ella.;
example2_training_field_023;;;;;;;;;Cuando dirijo mi mirada hacia ella veo que ya es bastante tarde, está entrenando con Pierre, otro día será.;
example2_training_field_024;;;wood_swords:loop;;;;;;Me distraje de más, parece que varios comenzaron ya a entrenar llenando el ambiente con los característicos sonidos de madera contra madera;
example2_training_field_025;;;;;;;;;Eso me deja con una única opción, aunque la verdad tampoco es una mala elección.;
example2_training_field_026;;;;;;;;;Ya decidido me acerco a él.;
example2_training_field_027;;;;;;;;;Me saca una cabeza de estatura, me cuesta creer que con ese tamaño sea capaz de esquivar mejor que la mayoría.;
example2_training_field_028;;;;;;;;berto;Ey Rafa ¿Todo bien?;
example2_training_field_029;;;;;;rafarencio;;rafarencio;Anda Berto, sí, ¿Cómo llevas el golpe de ayer?;
example2_training_field_030;;;;;;;;berto;Fatal, recibir un golpe de Triskel no es algo muy recomendable.;
example2_training_field_031;;;;;;;;rafarencio;Jajaja, ya me imagino, seguro que pudiste haberlo evitado de alguna manera, de hecho ¿Me equivoco si digo que vienes a retarme?;
example2_training_field_032;;;;;;;;berto;Me pillaste, estoy algo cansado de siempre luchar contra los más robustos y fuertes.;
example2_training_field_033;;;;;;;;rafarencio;No pudiste venir a un lugar mejor, aunque tienes que prestar mucha atención, todos mis movimientos tienen un porqué y no pienso explicárselo a nadie así que abre bien los ojos.;
example2_training_field_034;;;;;;;;berto;Entendido;
example2_training_field_036;;;;;;;;*;Ya todo listo nos ponemos en posición de combate y nos miramos a los ojos.;
example2_training_field_037;;;;;;;;;Miro bien su postura y es algo distinta a lo usual, noto algo peculiar, no apoya los pies del todo en el suelo, solo se apoya con las puntas.;
example2_training_field_038;;;;;;;;rafarencio;Ven cuando quieras.;
example2_training_field_039;;;;;;;;*;Sin más titubear me aferro a mi espada y cargo contra él.;
example2_training_field_040;;;;;;rafarencio:dodge;;;Ataco con un barrido y él salta hacia atrás, contraataca con un corte vertical.;
example2_training_field_041;;;;;;;;;Logro evitarlo pivotando mi cuerpo, gran error.;
example2_training_field_042;;;;;;rafarencio:attack;;;Rafa rápidamente reposiciona su espada y la dirige hacia mi cuello, intento mover mi mano izquierda para sujetar su mano agresora pero él la detiene primero y de esa forma termina el primer combate.;
example2_training_field_043;;;;;;;;berto;Agh, la cagué.;
example2_training_field_044;;;;;;;;rafarencio;Dime ¿Qué hiciste mal?;
example2_training_field_045;;;;;;;;berto;Mi error fue haber pivotado, expuse todo mi lado derecho a tu espada.;
example2_training_field_046;;;;;;;;*;Él asiente con la cabeza.;
example2_training_field_047;;;;;;;;rafarencio;Pivotar así casi siempre es una mala opción, solo vale la pena hacerlo si sabes que tu oponente no se puede recuperar fácilmente de su ataque.;
example2_training_field_048;;;;;;;;;¿Y sabes quienes hacen eso? Los que atacan lento pero fuerte, pero yo no soy de esos.;
example2_training_field_049;;;;;;;;*;Tiene toda la razón, estoy tan acostumbrado a luchar contra ese tipo de personas que al final he adoptado cierta tendencia en mis movimientos.;
example2_training_field_050;;;;;;;;;Tengo que aprender a adaptarme según el enemigo que tenga frente a mi.;
example2_training_field_051;;;;;;;;berto;Lo tendré en cuenta.;
example2_training_field_052;;;;;;rafarencio:move:35:0.8;;*;Rafa retrocede unos pasos y de nuevo me coloco en postura de combate.;
example2_training_field_053;;;;;;;;;Libramos un segundo enfrentamiento que dura más que el anterior, esta vez intento ser más cuidadoso con mis movimientos y me fijo más en los suyos.;
example2_training_field_054;;;;;;;;;Él se mueve conmigo, cuando preparo un ataque, él prepara un salto. Cuando esquivo se acerca para reducir la distancia entre nosotros. Al bloquear mis ataques, los desvía rápidamente.;
example2_training_field_055;;;;;;;;;En medio del combate finalmente logro crear una situación favorable ¡Es mi momento!;
example2_training_field_056;;;;;;rafarencio:move:50:0.2,rafarencio:attack;;;Ataco sin dudar pero él bloquea mi ataque y amenaza mi cuello en tiempo récord.;
example2_training_field_057;;;;;;;;berto;¿Eh? ¡¿Cómo?!;
example2_training_field_058;;;;;;;;rafarencio;Jejeje ¿Sabes lo que es una finta?;
example2_training_field_059;;;;;;;;berto;Es crear una oportunidad falsa a tu oponente para que crea que puede hacer un movimiento o ataque favorable.;
example2_training_field_060;;;;;;;;rafarencio;Bingo.;
example2_training_field_061;;;;;;;;;Si ves que tu oponente se “expone demasiado”, es señal de que es una finta, debes aprender a diferenciarlos.;
example2_training_field_062;;;;;;;;berto;Entiendo;
example2_training_field_063;;;;;;;;*;Con los ánimos por las nubes y dispuesto a seguir entrenando, me coloco en posición de combate para librar un tercer enfrentamiento.;
example2_training_field_064;;;wood_swords:loop;;;;;;Naturalmente, también sufro una derrota ante él.;
example2_training_field_065;;;;;;;;;Luego de tres derrotas empiezo a comprender como luchar contra oponentes como Rafarencio, no puedo atacar sin pensar tengo que pensar en cómo va a evitar mi ataque y en cómo puedo seguir haciéndole presión.;
example2_training_field_066;;;;;;rafarencio:movey:0.15;;;Después de unos cuantos combates más, derrotado y lleno de sudor y cansancio me tomo unos minutos para descansar.;
example2_training_field_067;;;;;;;;;Rafarencio me acompaña y se sienta en el suelo frente a mi.;
example2_training_field_068;;;;;;;;rafarencio;Berto ¿Qué ejercicios haces?;
example2_training_field_069;;;;;;;;berto;Bueno, principalmente fuerza, pecho, bíceps, abdomen, piernas, hombros, espalda…;
example2_training_field_070;;;;;;;;rafarencio;Ok ¿Y ejercicios de movilidad? Flexibilidad, salto y reflejos.;
example2_training_field_071;;;;;;;;berto;Bueno… no, nada de eso.;
example2_training_field_072;;;;;;;;rafarencio;Deberías, la fuerza no lo es todo, estoy seguro de que en una competencia de pulseadas me ganarías, pero en combate ya ves el resultado.;
example2_training_field_073;;;;;;;;berto;Te entiendo, aunque… ¿Cómo entreno mis reflejos?;
example2_training_field_074;;;;;;;;;Me hago una idea de como entrenar la flexibilidad y el salto pero ¿Y los reflejos?;
example2_training_field_075;;;;;;;;*;Rafa se lleva la mano al cuello.;
example2_training_field_076;;;;;;;;rafarencio;Bueno… es un poco más complicado porque no puedes hacerlo solo, la mejor manera es con alguien que te ataque indefinidamente mientras intentas esquivar todo lo que puedes.;
example2_training_field_077;;;;;;;;;Pero de decirte que haya un método o una máquina donde puedas entrenarlo… por ahora no hay, o al menos no que yo la conozca.;
example2_training_field_078;;;;;;;;berto;Bueno, supongo que de cierta forma estoy entrenando reflejos contigo ¿no?;
example2_training_field_079;;;;;;;;rafarencio;Jajaja, así es, los combates en general son buenos, te ayudan a mejorar habilidades secundarias como el pensamiento y el análisis rápido.;
example2_training_field_080;;;;;;;;;Así que cuanto más combatas será mejor, aunque estés cansado o aunque te duela todo, ten en cuenta que esto que hacemos es un juego de niños.;
example2_training_field_081;;;;;;;;;En algún momento nos enfrentaremos a rivales de verdad que usarán todos sus trucos sucios para cortarnos el cuello.;
example2_training_field_082;;;;;;;;*;Rafarencio parece estar bastante claro del camino que quiere seguir, yo… no podría decir lo mismo de mí.;
example2_training_field_083;;;;;;;;;A veces me cuesta pensar que me convertiré en alguien capaz de matar personas solo porque así me lo ordenaron mis superiores.;
example2_training_field_084;;;;;;;;;Pero es algo que debo asimilar, eso llevará su tiempo, no será de un día para otro.;
example2_training_field_085;;;;;;;;;Aún me queda camino por recorrer.;
example2_training_field_086;;;;;;;;;Lleno de determinación aprieto los puños, me levanto y me pongo en posición.;
example2_training_field_087;;;;;;rafarencio:movey:0;;rafarencio;Vaya, parece que ya estás recuperado, veamos si has aprendido algo de esas cinco derrotas seguidas.;
example2_training_field_088;;;;;;;;*;Empezamos un sexto combate.;
example2_training_field_089;;;;;;;;;He aprendido que no solo debo fijarme en el trazo de su espada sino también en los ángulos de sus rodillas y codos, la orientación de sus pies y la manera en que rota su torso.;
example2_training_field_090;;;;;;;;;Debo fijarme en todo y actuar en consecuencia.;
example2_training_field_091;;;;;;;;;Él ataca con una estocada, la desvío y me posiciono para contraatacar, él sube la guardia y entonces retrocedo.;
